"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"116","0:22","0.1","ALEXANDER KERFOOT - CLAYTON KELLER - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"117","0:22","0.1","JACK MCBAIN - JOSH DOAN - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"118","0:22","0.1","KEVIN STENLUND - JACK MCBAIN - JOSH DOAN","0","0","0","0","1","0.0","0","2","0.0"
"119","0:22","0.1","CLAYTON KELLER - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"120","0:22","0.1","LAWSON CROUSE - KEVIN STENLUND","0","0","0","0","0","0.0","0","0","0.0"
"121","0:22","0.1","ALEXANDER KERFOOT - LAWSON CROUSE - KEVIN STENLUND","0","0","0","0","1","0.0","0","1","0.0"
"122","0:21","0.1","LAWSON CROUSE - JACK MCBAIN - DYLAN GUENTHER","0","0","0","0","0","0.0","0","0","0.0"
"123","0:21","0.1","MICHAEL CARCONE - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"124","0:19","0.1","BRANDON TANEV - NICK SCHMALTZ - BARRETT HAYTON","0","0","0","0","0","0.0","0","0","0.0"
"125","0:19","0.1","ANDREW AGOZZINO - NICK SCHMALTZ","0","0","0","0","0","0.0","0","1","0.0"
"126","0:19","0.1","NICK BJUGSTAD - ALEXANDER KERFOOT - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
"127","0:18","0.1","NICK SCHMALTZ - CLAYTON KELLER - BARRETT HAYTON - DYLAN GUENTHER - LOGAN COOLEY","0","0","0","0","0","0.0","2","0","100.0"
"128","0:18","0.1","ALEXANDER KERFOOT - LIAM O'BRIEN - KEVIN STENLUND","0","0","0","0","0","0.0","0","1","0.0"
"129","0:18","0.1","LAWSON CROUSE - BRANDON TANEV - JJ PETERKA","0","0","0","0","0","0.0","0","0","0.0"
"130","0:17","0.1","LIAM O'BRIEN - JACK MCBAIN - JOSH DOAN","0","0","0","0","0","0.0","0","0","0.0"
"131","0:17","0.1","LAWSON CROUSE - KAILER YAMAMOTO - LOGAN COOLEY","0","0","0","0","0","0.0","0","0","0.0"
