"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"209","0:05","0.0","CARL GRUNDSTROM - TY DELLANDREA - NOAH GREGOR - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"210","0:05","0.0","NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"211","0:04","0.0","BARCLAY GOODROW - ADAM GAUDETTE - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"212","0:04","0.0","CARL GRUNDSTROM - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","0","0.0"
"213","0:04","0.0","TYLER TOFFOLI - CARL GRUNDSTROM - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"214","0:04","0.0","TY DELLANDREA - NOAH GREGOR - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"215","0:04","0.0","JEFF SKINNER - BARCLAY GOODROW - TY DELLANDREA","0","0","0","0","1","0.0","0","1","0.0"
"216","0:04","0.0","ALEXANDER WENNBERG - PHILIPP KURASHEV - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"217","0:04","0.0","JEFF SKINNER - TYLER TOFFOLI - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"218","0:04","0.0","NOAH GREGOR - ZACK OSTAPCHUK","0","0","0","0","0","0.0","0","0","0.0"
"219","0:04","0.0","TYLER TOFFOLI - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"220","0:04","0.0","ADAM GAUDETTE - TY DELLANDREA - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"221","0:04","0.0","TYLER TOFFOLI - PHILIPP KURASHEV","0","0","0","0","0","0.0","1","0","100.0"
"222","0:04","0.0","ALEXANDER WENNBERG - WILLIAM EKLUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"223","0:03","0.0","TYLER TOFFOLI - NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"224","0:03","0.0","CARL GRUNDSTROM - NIKOLAI KOVALENKO - ZACK OSTAPCHUK","0","0","0","0","1","0.0","0","1","0.0"
"225","0:03","0.0","CARL GRUNDSTROM - ZACK OSTAPCHUK - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
